n,count(DISTINCT r)
"{date:None,paperId:11289}",28
"{date:None,paperId:108136}",20
"{date:1995/4/24,paperId:9504388}",15
"{date:1996/6/7,paperId:9606274}",26
"{date:None,paperId:105235}",27
"{date:1996/3/19,paperId:9603341}",40
"{date:1995/12/30,paperId:9512445}",19
"{date:1994/4/20,paperId:9404307}",2
"{date:1998/1/19,paperId:9801349}",14
"{date:None,paperId:301062}",15
"{date:1996/9/1,paperId:9609216}",9
"{date:1995/11/16,paperId:9511343}",37
"{date:1997/5/28,paperId:9705453}",31
"{date:1997/6/18,paperId:9706402}",4
"{date:1999/12/6,paperId:9912251}",48
"{date:1997/10/28,paperId:9710506}",25
"{date:1999/12/16,paperId:9912377}",10
"{date:None,paperId:108094}",42
"{date:None,paperId:9161}",35
"{date:1994/12/21,paperId:9412342}",10
"{date:1998/1/20,paperId:9801352}",18
"{date:1999/3/3,paperId:9903236}",16
"{date:1992/10/19,paperId:9210244}",12
"{date:1996/3/2,paperId:9603202}",145
"{date:None,paperId:11073}",5
"{date:1995/11/17,paperId:9511352}",21
"{date:1998/11/16,paperId:9811353}",112
"{date:1997/1/30,paperId:9701425}",21
"{date:1995/11/30,paperId:9511469}",81
"{date:1995/10/24,paperId:9510386}",32
"{date:None,paperId:207102}",1
"{date:None,paperId:207132}",5
"{date:None,paperId:109266}",4
"{date:1997/4/9,paperId:9704272}",55
"{date:None,paperId:212276}",6
"{date:1992/12/2,paperId:9212212}",79
"{date:1992/5/4,paperId:9205201}",12
"{date:1993/8/24,paperId:9308331}",2
"{date:None,paperId:7121}",8
"{date:1995/6/9,paperId:9506286}",8
"{date:1995/8/24,paperId:9508364}",2
"{date:1996/10/13,paperId:9610340}",48
"{date:None,paperId:211409}",9
"{date:None,paperId:110349}",24
"{date:None,paperId:7042}",21
"{date:1995/10/3,paperId:9510214}",4
"{date:1996/7/17,paperId:9607348}",7
"{date:1993/8/23,paperId:9308323}",22
"{date:None,paperId:107203}",15
"{date:1997/12/4,paperId:9712258}",8
"{date:1993/5/27,paperId:9305330}",3
"{date:None,paperId:210423}",23
"{date:None,paperId:202087}",23
"{date:1995/3/6,paperId:9503239}",5
"{date:None,paperId:202182}",5
"{date:None,paperId:3240}",12
"{date:None,paperId:203080}",21
"{date:1999/8/10,paperId:9908315}",11
"{date:None,paperId:8054}",9
"{date:None,paperId:7346}",71
"{date:None,paperId:106198}",26
"{date:1998/3/20,paperId:9803398}",10
"{date:1995/11/16,paperId:9511341}",37
"{date:1996/2/23,paperId:9602380}",37
"{date:None,paperId:112140}",30
"{date:1995/5/29,paperId:9505404}",33
"{date:None,paperId:5218}",76
"{date:1996/5/31,paperId:9605454}",12
"{date:1994/2/2,paperId:9402210}",116
"{date:1998/3/25,paperId:9803451}",75
"{date:1999/1/22,paperId:9901386}",48
"{date:1996/10/16,paperId:9610375}",6
"{date:1999/9/25,paperId:9909512}",18
"{date:None,paperId:7359}",25
"{date:1994/6/2,paperId:9406213}",9
"{date:1994/10/18,paperId:9410313}",5
"{date:None,paperId:7211}",3
"{date:1998/10/5,paperId:9810241}",51
"{date:1998/8/25,paperId:9808415}",60
"{date:1997/10/16,paperId:9710377}",2
"{date:1997/10/6,paperId:9710257}",36
"{date:1993/8/16,paperId:9308278}",9
"{date:None,paperId:209263}",31
"{date:1993/2/18,paperId:9302275}",2
"{date:None,paperId:6269}",6
"{date:1999/11/12,paperId:9911337}",52
"{date:None,paperId:11067}",10
"{date:1997/9/18,paperId:9709386}",36
"{date:1995/1/13,paperId:9501293}",5
"{date:1993/12/14,paperId:9312281}",9
"{date:None,paperId:110190}",3
"{date:1999/7/28,paperId:9907540}",5
"{date:None,paperId:11323}",113
"{date:1999/5/29,paperId:9905542}",44
"{date:1995/9/22,paperId:9509357}",5
"{date:1994/11/28,paperId:9411407}",2
"{date:1993/3/23,paperId:9303296}",23
"{date:1993/5/12,paperId:9305260}",23
"{date:1994/12/15,paperId:9412306}",1
"{date:None,paperId:209119}",17
"{date:1997/2/18,paperId:9702359}",88
"{date:None,paperId:211410}",21
"{date:1995/7/18,paperId:9507325}",6
"{date:1996/9/13,paperId:9609342}",61
"{date:1994/6/7,paperId:9406246}",7
"{date:None,paperId:11024}",15
"{date:1999/9/8,paperId:9909297}",102
"{date:1996/6/26,paperId:9606446}",4
"{date:None,paperId:2185}",3
"{date:None,paperId:4084}",7
"{date:None,paperId:302237}",54
"{date:1999/3/29,paperId:9903521}",1
"{date:1998/8/3,paperId:9808210}",7
"{date:None,paperId:212375}",16
"{date:None,paperId:206172}",18
"{date:1995/9/19,paperId:9509330}",1
"{date:1997/5/16,paperId:9705332}",1
"{date:1998/4/24,paperId:9804398}",622
"{date:None,paperId:103165}",29
"{date:None,paperId:112237}",16
"{date:None,paperId:208130}",17
"{date:1999/6/4,paperId:9906260}",20
"{date:1997/5/5,paperId:9705234}",108
"{date:None,paperId:203109}",44
"{date:1998/4/30,paperId:9804455}",19
"{date:None,paperId:10174}",26
"{date:1995/12/11,paperId:9512270}",8
"{date:1998/11/27,paperId:9811494}",2
"{date:None,paperId:5142}",126
"{date:1993/5/12,paperId:9305256}",1
"{date:None,paperId:104038}",46
"{date:1998/5/5,paperId:9805225}",17
"{date:1996/10/31,paperId:9610552}",6
"{date:1998/12/28,paperId:9812506}",14
"{date:1999/5/18,paperId:9905379}",18
"{date:1996/8/26,paperId:9608443}",12
"{date:None,paperId:201212}",4
"{date:None,paperId:102027}",14
"{date:None,paperId:1160}",8
"{date:1996/6/19,paperId:9606375}",18
"{date:1997/8/18,paperId:9708394}",1
"{date:1999/4/13,paperId:9904312}",4
"{date:1999/8/6,paperId:9908281}",23
"{date:None,paperId:10245}",40
"{date:1994/1/7,paperId:9401221}",11
"{date:1998/4/21,paperId:9804348}",25
"{date:1992/7/9,paperId:9207227}",25
"{date:None,paperId:9250}",25
"{date:1997/4/8,paperId:9704260}",56
"{date:1995/9/4,paperId:9509217}",15
"{date:1993/10/14,paperId:9310286}",39
"{date:None,paperId:4179}",21
"{date:1997/2/15,paperId:9702344}",11
"{date:1997/9/24,paperId:9709437}",46
"{date:1998/4/11,paperId:9804274}",54
"{date:1999/8/17,paperId:9908375}",6
"{date:1999/11/24,paperId:9911468}",40
"{date:1998/5/30,paperId:9806201}",1
"{date:1996/10/18,paperId:9610405}",16
"{date:1999/12/1,paperId:9912213}",10
"{date:1995/2/7,paperId:9502250}",36
"{date:None,paperId:204103}",1
"{date:1993/9/17,paperId:9309281}",4
"{date:1999/8/13,paperId:9908345}",2
"{date:1992/6/4,paperId:9206209}",12
"{date:1997/8/25,paperId:9708455}",24
"{date:1999/7/12,paperId:9907313}",9
"{date:1994/10/20,paperId:9410333}",49
"{date:None,paperId:208170}",13
"{date:None,paperId:204228}",34
"{date:1998/7/10,paperId:9807323}",21
"{date:1996/2/29,paperId:9602436}",31
"{date:1995/10/18,paperId:9510335}",5
"{date:None,paperId:212164}",6
"{date:1992/12/3,paperId:9212216}",1
"{date:None,paperId:8144}",54
"{date:1996/12/10,paperId:9612315}",5
"{date:1996/4/19,paperId:9604358}",5
"{date:1998/3/13,paperId:9803340}",8
"{date:1994/10/4,paperId:9410215}",2
"{date:None,paperId:106038}",6
"{date:None,paperId:301200}",27
"{date:None,paperId:201213}",1
"{date:None,paperId:111282}",4
"{date:None,paperId:206238}",25
"{date:1999/6/16,paperId:9906395}",33
"{date:1996/9/30,paperId:9609531}",13
"{date:None,paperId:109278}",4
"{date:1998/5/26,paperId:9805454}",3
"{date:None,paperId:109191}",9
"{date:None,paperId:9259}",4
"{date:1993/9/7,paperId:9309236}",14
"{date:None,paperId:4166}",12
"{date:None,paperId:2136}",9
"{date:None,paperId:103129}",7
"{date:1998/4/30,paperId:9804464}",5
"{date:1998/11/6,paperId:9811260}",25
"{date:None,paperId:4062}",13
"{date:1999/11/30,paperId:9911539}",28
"{date:1997/5/2,paperId:9705213}",2
"{date:1994/1/14,paperId:9401255}",40
"{date:1999/11/2,paperId:9911210}",5
"{date:1999/7/6,paperId:9907248}",8
"{date:1999/9/20,paperId:9909437}",5
"{date:None,paperId:4125}",3
"{date:1997/3/12,paperId:9703303}",21
"{date:None,paperId:4152}",14
"{date:None,paperId:104294}",32
"{date:1996/10/10,paperId:9610318}",7
"{date:1996/11/21,paperId:9611386}",26
"{date:None,paperId:3112}",3
"{date:1996/7/23,paperId:9607413}",11
"{date:1996/8/23,paperId:9608424}",8
"{date:1998/6/30,paperId:9806535}",18
"{date:1999/6/7,paperId:9906281}",68
"{date:None,paperId:1321}",18
"{date:None,paperId:11273}",33
"{date:None,paperId:201231}",107
"{date:None,paperId:108046}",4
"{date:None,paperId:10201}",46
"{date:None,paperId:212052}",2
"{date:1998/9/2,paperId:9809229}",17
"{date:1997/6/20,paperId:9706429}",10
"{date:None,paperId:4123}",19
"{date:1994/1/20,paperId:9401294}",27
"{date:None,paperId:105335}",25
"{date:1996/6/10,paperId:9606292}",20
"{date:None,paperId:1311}",8
"{date:None,paperId:206234}",5
"{date:1999/3/3,paperId:9903242}",36
"{date:1995/4/1,paperId:9503491}",16
"{date:1994/6/8,paperId:9406259}",1
"{date:None,paperId:112247}",92
"{date:None,paperId:112261}",11
"{date:1993/10/7,paperId:9310242}",76
"{date:None,paperId:101164}",6
"{date:1998/12/12,paperId:9812342}",9
"{date:None,paperId:211265}",2
"{date:1994/9/19,paperId:9409350}",8
"{date:None,paperId:12213}",18
"{date:1998/6/4,paperId:9806263}",116
"{date:1994/10/11,paperId:9410291}",2
"{date:None,paperId:204248}",10
"{date:1995/1/25,paperId:9501375}",98
"{date:1995/7/31,paperId:9507468}",1
"{date:None,paperId:1268}",65
"{date:1999/5/3,paperId:9905211}",12
"{date:1995/4/30,paperId:9504434}",46
"{date:None,paperId:210197}",22
"{date:None,paperId:109267}",20
"{date:None,paperId:103019}",10
"{date:None,paperId:205254}",31
"{date:1999/6/24,paperId:9906489}",26
"{date:None,paperId:4003}",11
"{date:None,paperId:301037}",16
"{date:1998/7/21,paperId:9807441}",8
"{date:1997/6/9,paperId:9706307}",145
"{date:1999/10/19,paperId:9910406}",17
"{date:1996/8/26,paperId:9608440}",3
"{date:None,paperId:205049}",4
"{date:1997/5/9,paperId:9705277}",1
"{date:1997/7/17,paperId:9707382}",11
"{date:None,paperId:112264}",17
"{date:1993/12/19,paperId:9312304}",25
"{date:None,paperId:7349}",21
"{date:None,paperId:302118}",13
"{date:None,paperId:212009}",7
"{date:1997/10/22,paperId:9710429}",17
"{date:None,paperId:203182}",50
"{date:None,paperId:12241}",23
"{date:1992/6/1,paperId:9206202}",2
"{date:1999/12/14,paperId:9912331}",4
"{date:1997/3/23,paperId:9703393}",9
"{date:1995/4/23,paperId:9504365}",7
"{date:1998/10/9,paperId:9810300}",23
"{date:1999/3/9,paperId:9903295}",13
"{date:None,paperId:101142}",30
"{date:None,paperId:112273}",36
"{date:1993/10/22,paperId:9310335}",6
"{date:None,paperId:2053}",36
"{date:None,paperId:8129}",24
"{date:1999/9/27,paperId:9909508}",26
"{date:None,paperId:7034}",22
"{date:1999/9/28,paperId:9909523}",21
"{date:1997/2/2,paperId:9702219}",12
"{date:1995/2/11,paperId:9502280}",12
"{date:None,paperId:102010}",30
"{date:1995/9/27,paperId:9509406}",87
"{date:1998/6/17,paperId:9806393}",4
"{date:None,paperId:109047}",30
"{date:1996/12/17,paperId:9612378}",24
"{date:None,paperId:210248}",13
"{date:1999/12/2,paperId:9912223}",73
"{date:None,paperId:202003}",59
"{date:1995/5/9,paperId:9505265}",5
"{date:1993/4/23,paperId:9304293}",9
"{date:None,paperId:112046}",5
"{date:1999/8/31,paperId:9908520}",32
"{date:None,paperId:105064}",53
"{date:None,paperId:105299}",40
"{date:None,paperId:6247}",5
"{date:1999/10/26,paperId:9910488}",19
"{date:1999/8/11,paperId:9908322}",1
"{date:1995/7/27,paperId:9507432}",23
"{date:None,paperId:209121}",45
"{date:1996/3/18,paperId:9603333}",30
"{date:None,paperId:211183}",1
"{date:1995/8/30,paperId:9508404}",8
"{date:1994/1/25,paperId:9401325}",37
"{date:None,paperId:8154}",10
"{date:1997/11/4,paperId:9711217}",106
"{date:1998/11/4,paperId:9811246}",9
"{date:1998/2/25,paperId:9802417}",1
"{date:None,paperId:207016}",29
"{date:1996/12/27,paperId:9612476}",3
"{date:1993/6/18,paperId:9306286}",3
"{date:1999/11/22,paperId:9911430}",3
"{date:None,paperId:111344}",18
"{date:1993/6/11,paperId:9306263}",1
"{date:None,paperId:207175}",10
"{date:1999/6/10,paperId:9906314}",1
"{date:1997/10/5,paperId:9710241}",6
"{date:1997/8/19,paperId:9708408}",7
"{date:None,paperId:202121}",16
"{date:None,paperId:8318}",11
"{date:1995/11/20,paperId:9511369}",5
"{date:None,paperId:205124}",14
"{date:1999/10/27,paperId:9910523}",13
"{date:1999/2/16,paperId:9902360}",17
"{date:1998/8/11,paperId:9808297}",7
"{date:None,paperId:101028}",2
"{date:1996/5/22,paperId:9605376}",32
"{date:1993/7/19,paperId:9307296}",7
"{date:1999/3/20,paperId:9903418}",77
"{date:1999/3/6,paperId:9903275}",20
"{date:None,paperId:206252}",25
"{date:1996/10/25,paperId:9610489}",13
"{date:1995/6/8,paperId:9506273}",63
"{date:1995/2/24,paperId:9502384}",8
"{date:1993/12/1,paperId:9312203}",8
"{date:1998/4/17,paperId:9804316}",10
"{date:1996/6/22,paperId:9606412}",26
"{date:None,paperId:6019}",3
"{date:1996/10/2,paperId:9610221}",22
"{date:1998/5/7,paperId:9805245}",17
"{date:1999/2/10,paperId:9902295}",56
"{date:None,paperId:111028}",26
"{date:1995/12/30,paperId:9512444}",7
"{date:1999/5/16,paperId:9905356}",11
"{date:1999/11/23,paperId:9911448}",9
"{date:1998/4/21,paperId:9804354}",39
"{date:1999/7/19,paperId:9907409}",41
"{date:1993/8/2,paperId:9308201}",16
"{date:None,paperId:11222}",20
"{date:1996/9/30,paperId:9609526}",10
"{date:None,paperId:10345}",17
"{date:1994/3/7,paperId:9403239}",11
"{date:None,paperId:206162}",78
"{date:1996/5/15,paperId:9605316}",26
"{date:None,paperId:112258}",1
"{date:1999/7/26,paperId:9907489}",76
"{date:1998/4/28,paperId:9804431}",13
"{date:None,paperId:10058}",30
"{date:None,paperId:205268}",6
"{date:None,paperId:10268}",16
"{date:1999/8/6,paperId:9908283}",51
"{date:1992/3/26,paperId:9203221}",1
"{date:1993/5/28,paperId:9305346}",7
"{date:None,paperId:207111}",3
"{date:1996/6/27,paperId:9606453}",4
"{date:None,paperId:204075}",14
"{date:1995/7/28,paperId:9507445}",42
"{date:None,paperId:107021}",3
"{date:None,paperId:110128}",25
"{date:1999/5/14,paperId:9905338}",47
"{date:1995/12/7,paperId:9512257}",3
"{date:None,paperId:5287}",11
"{date:None,paperId:209357}",10
"{date:1997/4/11,paperId:9704302}",7
"{date:None,paperId:302045}",6
"{date:None,paperId:212295}",11
"{date:None,paperId:211411}",20
"{date:1997/11/24,paperId:9711444}",36
"{date:None,paperId:11283}",22
"{date:None,paperId:212092}",57
"{date:None,paperId:301122}",3
"{date:None,paperId:204155}",21
"{date:1993/11/23,paperId:9311350}",25
"{date:1995/7/31,paperId:9507458}",6
"{date:1994/4/1,paperId:9404202}",5
"{date:None,paperId:105006}",10
"{date:None,paperId:110219}",7
"{date:1992/11/2,paperId:9211274}",1
"{date:None,paperId:1322}",71
"{date:1995/2/13,paperId:9502290}",9
"{date:None,paperId:110097}",27
"{date:None,paperId:104136}",5
"{date:1997/8/12,paperId:9708323}",11
"{date:None,paperId:203001}",4
"{date:None,paperId:7062}",7
"{date:1997/2/25,paperId:9702416}",14
"{date:1995/11/9,paperId:9511275}",30
"{date:None,paperId:2002}",7
"{date:None,paperId:106186}",16
"{date:1997/12/1,paperId:9712210}",11
"{date:1994/12/5,paperId:9412242}",12
"{date:1996/10/5,paperId:9610254}",1
"{date:1994/2/11,paperId:9402274}",44
"{date:1998/4/17,paperId:9804322}",39
"{date:None,paperId:109246}",10
"{date:None,paperId:102032}",13
"{date:1999/9/10,paperId:9909324}",21
"{date:1995/4/21,paperId:9504355}",12
"{date:1996/10/22,paperId:9610445}",56
"{date:1995/4/11,paperId:9504283}",8
"{date:1998/3/27,paperId:9803472}",10
"{date:None,paperId:11217}",29
"{date:1993/4/27,paperId:9304308}",8
"{date:1993/7/10,paperId:9307244}",66
"{date:1998/5/23,paperId:9805435}",12
"{date:1995/8/31,paperId:9508410}",3
"{date:1998/7/31,paperId:9807563}",14
"{date:1995/12/20,paperId:9512370}",26
"{date:None,paperId:8269}",56
"{date:1999/7/15,paperId:9907365}",51
"{date:1996/11/11,paperId:9611296}",9
"{date:1996/11/14,paperId:9611325}",44
"{date:1996/7/10,paperId:9607284}",15
"{date:1995/11/8,paperId:9511267}",10
"{date:1996/8/27,paperId:9608454}",5
"{date:1995/3/31,paperId:9503486}",157
"{date:1998/9/14,paperId:9809381}",38
"{date:1997/8/25,paperId:9708446}",31
"{date:None,paperId:2033}",72
"{date:None,paperId:204053}",7
"{date:None,paperId:202170}",45
"{date:1998/12/24,paperId:9812492}",3
"{date:None,paperId:12096}",47
"{date:None,paperId:110279}",14
"{date:1997/9/26,paperId:9709473}",65
"{date:1998/8/17,paperId:9808337}",6
"{date:None,paperId:4167}",4
"{date:None,paperId:212372}",27
"{date:None,paperId:202023}",51
"{date:1999/5/24,paperId:9905460}",3
"{date:None,paperId:10301}",27
"{date:1995/8/16,paperId:9508316}",22
"{date:1996/8/12,paperId:9608298}",4
"{date:1996/6/19,paperId:9606366}",5
"{date:1998/6/16,paperId:9806375}",36
"{date:None,paperId:205174}",22
"{date:1994/4/26,paperId:9404340}",6
"{date:None,paperId:208054}",16
"{date:1998/1/9,paperId:9801248}",13
"{date:1992/6/16,paperId:9206226}",2
"{date:None,paperId:104214}",21
"{date:1998/10/16,paperId:9810390}",15
"{date:1998/4/15,paperId:9804290}",89
"{date:None,paperId:207056}",46
"{date:None,paperId:207053}",43
"{date:None,paperId:202195}",23
"{date:1993/3/12,paperId:9303254}",3
"{date:None,paperId:1153}",1
"{date:1996/8/19,paperId:9608362}",4
"{date:None,paperId:206073}",17
"{date:1998/10/21,paperId:9810425}",26
"{date:None,paperId:101031}",30
"{date:1998/10/30,paperId:9810543}",46
"{date:1998/1/19,paperId:9801347}",10
"{date:None,paperId:110384}",5
"{date:1994/11/21,paperId:9411355}",12
"{date:1997/4/4,paperId:9704240}",9
"{date:None,paperId:203267}",30
"{date:None,paperId:105061}",47
"{date:1999/1/10,paperId:9901261}",10
"{date:1999/6/4,paperId:9906253}",18
"{date:1995/12/24,paperId:9512414}",6
"{date:1993/6/10,paperId:9306254}",13
"{date:1998/6/21,paperId:9806429}",48
"{date:1998/10/20,paperId:9810424}",39
"{date:None,paperId:5007}",57
"{date:1994/11/23,paperId:9411378}",55
"{date:1996/7/26,paperId:9607439}",30
"{date:1997/5/20,paperId:9705359}",26
"{date:None,paperId:10267}",35
"{date:1999/12/22,paperId:9912482}",77
"{date:None,paperId:8089}",25
"{date:1998/12/3,paperId:9812236}",65
"{date:1998/10/9,paperId:9810307}",27
"{date:1999/9/16,paperId:9909403}",12
"{date:1996/7/25,paperId:9607438}",10
"{date:None,paperId:204022}",3
"{date:1994/8/26,paperId:9408376}",80
"{date:None,paperId:1046}",86
"{date:1996/2/15,paperId:9602332}",10
"{date:1996/9/26,paperId:9609487}",70
"{date:1999/7/16,paperId:9907399}",44
"{date:1995/4/27,paperId:9504406}",17
"{date:1995/8/11,paperId:9508283}",16
"{date:1994/2/9,paperId:9402261}",1
"{date:None,paperId:109197}",139
"{date:1995/5/25,paperId:9505383}",21
"{date:1998/7/29,paperId:9807533}",5
"{date:1994/7/7,paperId:9407251}",94
"{date:None,paperId:301271}",26
"{date:None,paperId:11200}",41
"{date:None,paperId:202021}",32
"{date:None,paperId:104125}",14
"{date:1999/9/5,paperId:9909254}",83
"{date:None,paperId:106164}",6
"{date:1999/12/9,paperId:9912285}",1
"{date:None,paperId:302050}",17
"{date:1993/9/2,paperId:9309216}",40
"{date:1998/5/4,paperId:9805218}",2
"{date:1995/10/20,paperId:9510354}",1
"{date:1994/3/9,paperId:9403250}",34
"{date:None,paperId:112268}",25
"{date:None,paperId:109225}",5
"{date:None,paperId:206293}",47
"{date:None,paperId:212182}",5
"{date:None,paperId:201051}",9
"{date:1998/8/28,paperId:9808471}",18
"{date:None,paperId:209029}",31
"{date:1994/11/26,paperId:9411401}",1
"{date:1997/11/27,paperId:9711494}",3
"{date:1998/12/4,paperId:9812247}",28
"{date:None,paperId:202157}",15
"{date:1994/12/5,paperId:9412232}",2
"{date:None,paperId:8175}",8
"{date:None,paperId:208188}",38
"{date:1999/12/21,paperId:9912447}",39
"{date:1999/10/22,paperId:9910443}",4
"{date:1993/8/25,paperId:9308334}",2
"{date:1997/6/18,paperId:9706404}",8
"{date:None,paperId:1025}",24
"{date:None,paperId:109023}",6
"{date:1998/7/31,paperId:9807571}",8
"{date:None,paperId:9345}",2
"{date:None,paperId:1130}",22
"{date:1999/2/15,paperId:9902349}",4
"{date:None,paperId:3092}",6
"{date:None,paperId:112320}",10
"{date:1998/11/8,paperId:9811272}",14
"{date:1996/8/29,paperId:9608488}",9
"{date:1999/4/30,paperId:9904499}",7
"{date:1996/1/24,paperId:9601313}",31
"{date:1995/7/19,paperId:9507340}",12
"{date:None,paperId:107329}",107
"{date:1998/9/3,paperId:9809243}",15
"{date:1996/12/2,paperId:9612227}",28
"{date:None,paperId:6023}",12
"{date:1999/12/28,paperId:9912517}",10
"{date:None,paperId:209056}",7
"{date:1997/2/13,paperId:9702331}",32
"{date:1996/12/2,paperId:9612229}",98
"{date:1997/3/25,paperId:9703414}",20
"{date:1999/8/31,paperId:9908527}",1
"{date:1998/9/16,paperId:9809410}",12
"{date:1996/7/19,paperId:9607379}",37
"{date:None,paperId:302033}",33
"{date:1996/12/9,paperId:9612307}",59
"{date:1994/5/31,paperId:9405425}",31
"{date:1997/12/15,paperId:9712390}",15
"{date:None,paperId:210162}",20
"{date:1998/5/18,paperId:9805349}",54
"{date:1994/12/1,paperId:9412206}",36
"{date:None,paperId:2281}",5
"{date:1996/7/17,paperId:9607362}",42
"{date:1997/8/12,paperId:9708313}",17
